avAmplitudeForEachCell,FadPlusorMinus,MouseID,cohortID
110.449541666667,1,6025,1
41.187996,1,6025,1
92.6855208333333,1,6025,1
53.9815368421053,1,6025,1
30.73042,1,6025,1
7.78942188888889,1,6026,1
15.25464575,1,6026,1
8.27721107692308,1,6026,1
9.632912,1,6026,1
6.8579075,1,6026,1
5.13478348275862,1,6026,1
6.57969283333333,1,6026,1
5.87142832142857,1,6026,1
6.040096,1,6026,1
5.37752737037037,1,6026,1
7.037611,1,6026,1
43.7671442857143,1,6026,1
48.1203566666667,1,6026,1
52.733764,1,6026,1
4.80529535,1,6026,1
5.9701508,1,6026,1
13.1534225,1,6026,1
14.5923025,1,6026,1
12.428895,1,6026,1
9.0184335,1,6026,1
7.7822645,1,6026,1
7.54082414285714,1,6026,1
6.7200845,1,6026,1
5.85096733333333,1,6026,1
10.74666,1,6026,1
5.80846462222222,1,6026,1
5.9941521,1,6026,1
5.66421725,1,6026,1
23.6568188235294,1,6026,1
6.44326675,1,6026,1
7.8728612,1,6026,1
4.61275736363636,1,6026,1
5.61052170588235,1,6026,1
5.86344994444444,1,6026,1
6.61292428571429,1,6026,1
5.21344181818182,1,6026,1
6.95036530769231,1,6026,1
6.16020088888889,1,6026,1
8.8601326,1,6026,1
6.03141418181818,1,6026,1
6.9811715,1,6026,1
6.8199578,1,6026,1
5.9773792195122,1,6026,1
6.840742,1,6026,1
6.79664755555556,1,6026,1
5.41554208333333,1,6026,1
5.74844407142857,1,6026,1
4.91004731111111,1,6026,1
4.90506421428571,1,6026,1
6.04269420930233,1,6026,1
5.10832483333333,1,6026,1
12.53041,1,6026,1
5.19895135135135,1,6026,1
5.2332367173913,1,6026,1
7.617265,1,6026,1
5.2261224137931,1,6026,1
5.87752114473684,1,6026,1
5.43821890361446,1,6026,1
5.89203711904762,1,6026,1
6.6534825,1,6026,1
6.30952381818182,1,6026,1
7.031075,1,6026,1
7.206624,1,6026,1
5.908779,1,6026,1
