stability1v2,FadPlusorMinus,MouseID,cohortID
0.0370334040383648,-1,6041,1
0.375155357205584,-1,6041,1
0.182239873881628,-1,5508,0
-0.14259992988196,-1,5508,0
0,-1,5508,0
0.0736821706168117,-1,5508,0
0.122631180934276,-1,5508,0
-0.192700921941646,-1,5508,0
-0.0793309401549045,-1,5508,0
0.781665873076007,-1,5508,0
0.328704957055562,-1,5508,0
-0.152353880550797,-1,5508,0
0.68504962500165,-1,5508,0
-0.246201654692644,-1,5508,0
0,-1,5508,0
-0.107113773341987,-1,5508,0
0,-1,5508,0
0,-1,5508,0
0,-1,5508,0
-0.147504782200528,-1,5508,0
0,-1,5508,0
-0.0665681637758238,-1,5508,0
0,-1,5508,0
-0.415717222514734,-1,5508,0
-0.0585206140128323,-1,5508,0
0.274043782987709,-1,5508,0
0,-1,5508,0
0.785398163397448,-1,5508,0
0,-1,5508,0
0,-1,5508,0
-0.0665681637758238,-1,5508,0
0.0072082688788586,-1,5508,0
0.0256905417591935,-1,5508,0
0,-1,5508,0
0,-1,5508,0
0,-1,5508,0
-0.0665681637758238,-1,5508,0
0.0355444341888394,-1,5508,0
0,-1,5508,0
0,-1,5508,0
-0.106849595552865,-1,5508,0
0,-1,5508,0
0,-1,5508,0
0.356109659336051,-1,5391,0
0.785398163397448,-1,5391,0
0,-1,5391,0
-0.162514596772787,-1,5391,0
-0.242204940984014,-1,5391,0
-0.191036080246858,-1,5391,0
-0.276990202601811,-1,5391,0
-0.0189523905137445,-1,5391,0
-0.11285571777377,-1,5391,0
0,-1,5391,0
0.785398163397448,-1,5391,0
-0.0832558860532642,-1,5399,0
0.304031000798597,-1,5399,0
-0.11472642553798,-1,5399,0
-0.108954793808783,-1,5399,0
0,-1,5399,0
0.785398163397448,-1,5399,0
0.0339158183634168,-1,5399,0
0,-1,5399,0
-0.480164343934373,-1,5399,0
0,-1,5399,0
0,-1,5399,0
0.290926670091823,-1,5399,0
0.767947426763316,-1,5399,0
-0.115202346817655,-1,5455,0
-0.104632972831702,-1,5455,0
0,-1,5455,0
-0.0665681637758238,-1,5455,0
-0.0914205149025968,-1,5455,0
-0.259589379238835,-1,5455,0
-0.0987767267229907,-1,5455,0
0.211647529126203,-1,5455,0
-0.0709567152521405,-1,5455,0
0.591809460549588,-1,5455,0
0,-1,5455,0
-0.0972845547943195,-1,5455,0
-0.0813037439912108,-1,5455,0
0.52973565430257,-1,5455,0
-0.0665681637758238,-1,5455,0
0,-1,5455,0
0.10006141224336,-1,5455,0
-0.0923173751855452,-1,5455,0
0,-1,5455,0
0,-1,5455,0
0,-1,5455,0
0.234121672137274,-1,5455,0
-0.042978298072833,-1,5455,0
-0.0665681637758238,-1,5455,0
0,-1,5455,0
0,-1,5455,0
0,-1,5455,0
0,-1,5455,0
-0.0837791118089402,-1,5455,0
0.731480552700994,-1,5455,0
0.539355789219839,-1,5455,0
-0.0945880910075549,-1,5455,0
0,-1,5455,0
-0.0783527621363701,-1,5455,0
0,-1,5455,0
0,-1,5455,0
0.7604700925186,-1,5455,0
0,-1,5455,0
-0.0767908465667018,-1,5455,0
0,-1,5455,0
0.590813073243624,-1,5455,0
0,-1,5455,0
0,-1,5455,0
-0.127566904607378,-1,5455,0
0,-1,5455,0
0,-1,5455,0
-0.232572561989209,-1,5455,0
0.785398163397448,-1,5455,0
0,-1,5455,0
0,-1,5455,0
0,-1,5455,0
0.483454220211994,-1,5455,0
-0.188335531034338,-1,5455,0
0.549378849336681,-1,5455,0
0,-1,5455,0
0.354385455016111,-1,5455,0
0.575862484931972,-1,5455,0
-0.118885269812587,-1,6412,1
0,-1,6412,1
0,-1,6412,1
0,-1,6416,1
0,-1,6416,1
0.539371196626607,-1,6416,1
-0.299379699399212,-1,6416,1
-0.0665681637758238,-1,6416,1
0.324605750297943,-1,6416,1
-0.0927127806685438,-1,6416,1
0,-1,6416,1
-0.116119503893979,-1,6416,1
0.000253154714966668,-1,6416,1
0.104880903846894,-1,6416,1
0,-1,6416,1
0,-1,6416,1
-0.0665681637758238,-1,6416,1
-0.0665681637758238,-1,6416,1
0,-1,6416,1
0,-1,6416,1
0,-1,6416,1
0,-1,6416,1
0,-1,6416,1
0,-1,6416,1
0,-1,6416,1
-0.0959030743467001,-1,6416,1
0,-1,6416,1
0,-1,6416,1
-0.169468965096654,-1,6416,1
-0.306230065916894,-1,6416,1
0.407635279397832,-1,6416,1
0.0390581141858232,-1,6416,1
0.153247145640507,-1,6416,1
-0.0648066220160768,-1,6416,1
0.0127093319444051,-1,6416,1
-0.323916730573379,-1,6416,1
0,-1,6416,1
0,-1,6416,1
0.0807481699773454,-1,6416,1
-0.0665681637758238,-1,6416,1
0.619096585867353,-1,6416,1
0,-1,6416,1
0,-1,6431,1
0,-1,6431,1
0,-1,6431,1
0.466964363898161,-1,6431,1
-0.420502897237768,-1,6431,1
-0.131771038973399,-1,6431,1
-0.168216955568307,-1,6431,1
0,-1,6431,1
-0.119382116152469,-1,6431,1
-0.167867898395308,-1,6431,1
-0.189561712855646,-1,6431,1
0,-1,6431,1
0.385083850764273,-1,6431,1
-0.252601631529246,-1,6431,1
0.348242448980896,-1,6431,1
0,-1,6431,1
-0.192176430048263,-1,6431,1
0.559913923126063,-1,6431,1
0.48994596054977,-1,6431,1
-0.138276357826344,-1,6431,1
-0.228948283631448,-1,6431,1
0.530603655237841,-1,6431,1
-0.00757548459389084,-1,6431,1
0.186445928483681,-1,6431,1
0.277316208417858,-1,6431,1
-0.331193556789727,-1,6431,1
-0.243019849484702,-1,6431,1
0.141586216950107,-1,6431,1
-0.197636599179477,-1,6431,1
-0.0717042536581891,-1,6431,1
